date,countryiso3code,full_pubs,frac_pubs,frac_FWCI,frac_intl,frac_pubs_top10p_FWCI_perc,number_unique_authors
1992,ABW,1,1,0,,0,1
1993,ABW,1,0.333333333,0.69138368,0.333333333,0,6
1994,ABW,2,1.857142857,0.45551563,0.857142857,0,7
1995,ABW,1,1,0,,0,1
1997,ABW,3,0.833333333,0.934501827,0.833333333,0.2,3
2000,ABW,3,2.05,0.333991061,0.05,0,4
2001,ABW,1,0.333333333,0.249691435,0.333333333,0,1
2002,ABW,2,0.4,0.056747233,0.4,0,2
2003,ABW,1,0.2,0.136046913,0.2,0,1
2004,ABW,2,0.666666667,0,0.666666667,0,2
2005,ABW,3,1.75,0.708173618,0.75,0,3
2007,ABW,1,0.333333333,0.61013076,0.333333333,0,1
2008,ABW,1,0.2,1.30565869,,0,1
2009,ABW,3,0.8,0.138232021,0.3,0,4
2010,ABW,6,2.291666667,0.591517865,1.791666667,0.109090909,9
2011,ABW,9,1.201359585,0.873111915,1.201359585,0.003329561,10
2012,ABW,7,2.207575758,0.840277555,2.207575758,0.113246397,9
2013,ABW,8,4.269047619,0.329447429,0.935714286,0,9
2014,ABW,21,8.495173993,0.622119171,3.495173993,0.062780743,19
2015,ABW,10,5.016666667,0.694525184,2.016666667,0.139534884,12
2016,ABW,14,6.174242424,0.408623255,3.174242424,0,21
2017,ABW,13,4.318253968,0.572574794,2.818253968,0.025730564,16
2018,ABW,8,2.118391331,0.634974708,1.118391331,0,8
2019,ABW,16,6.181186869,0.401725216,3.181186869,0,16
2020,ABW,19,4.972351668,0.604257447,4.222351668,0.040222417,23
2021,ABW,26,5.550715002,1.315929231,4.550715002,0.073647738,37
2022,ABW,29,6.127651004,0.606580446,6.127651004,5.98E-04,36
2023,ABW,36,10.28343555,1.274584419,7.283435546,0.104189749,50
2024,ABW,4,1.31958908,0,1.31958908,1,16
1990,AFG,4,2.666666667,0,0.666666667,0,11
1991,AFG,3,3,0.645887642,,0,7
1992,AFG,2,1.6,0,0.6,0,4
1995,AFG,4,3.5,0,0.5,0,4
1996,AFG,1,0.2,0,0.2,0,1
1998,AFG,3,2.083333333,0.022189489,0.083333333,0,3
1999,AFG,3,0.866666667,0.121849516,0.166666667,0,3
2000,AFG,3,3,0.101586345,,0,7
2001,AFG,3,2.117647059,0,0.117647059,0,4
2002,AFG,6,4.4,0.232554838,1.4,0,7
2003,AFG,11,8.027472527,0.442944342,2.360805861,0,25
2004,AFG,11,5.342857143,0.577677512,1.50952381,0.046791444,13
2005,AFG,15,9.588311688,0.548719751,2.088311688,0.033861574,24
2006,AFG,34,23.85873016,0.458454651,4.858730159,0.008382676,39
2007,AFG,30,16.77946727,0.312628513,6.279467272,0.029551547,40
2008,AFG,35,12.61507937,0.833313127,10.28174603,0.046240956,53
2009,AFG,48,27.13115079,0.485943705,8.464484127,0.031738835,64
2010,AFG,72,33.20069375,0.545164478,16.11736042,0.032974619,90
2011,AFG,79,46.08374355,0.45319375,15.00041022,0.021196446,122
2012,AFG,79,35.41239594,0.612528466,15.66239594,0.046463459,114
2013,AFG,57,25.0934864,0.552891093,15.0934864,0.060809472,101
2014,AFG,91,33.91168466,0.908750364,19.41168466,0.066007604,128
2015,AFG,59,18.32117441,0.677065414,13.32117441,0.016089252,94
2016,AFG,100,43.44555845,0.580613211,23.44555845,0.025273339,164
2017,AFG,141,49.60435659,0.569986182,33.90435659,0.030870274,198
2018,AFG,175,59.98276159,0.617479665,43.48276159,0.029600214,212
2019,AFG,243,97.7708396,0.684283723,63.2708396,0.06166607,367
2020,AFG,288,131.981174,0.623988389,60.73117402,0.061497822,437
2021,AFG,456,193.6712965,0.962962727,103.4379632,0.107759445,588
2022,AFG,612,197.8150898,0.926121929,131.6484231,0.088307801,602
2023,AFG,544,189.2712679,1.026449377,110.1046012,0.112125368,669
2024,AFG,44,13.45527504,0.411822565,7.455275036,1,59
1990,AGO,8,5.533333333,0.309246682,1.533333333,0,9
1991,AGO,8,5.95,0.361050871,0.95,0,26
1992,AGO,6,3.569444444,1.110850669,2.569444444,0,19
1993,AGO,14,9.204901961,2.268873406,2.204901961,0.063904569,24
1994,AGO,13,9.116666667,0.075506902,2.116666667,0,27
1995,AGO,9,5.075,0.111906887,2.075,0,10
1996,AGO,5,3.773809524,0.174775232,1.773809524,0,14
1997,AGO,11,6.419047619,0.365197513,1.419047619,0.03115727,15
1998,AGO,10,4.015873016,0.307585914,2.015873016,0.041501976,17
1999,AGO,14,5.943722944,0.441101035,1.943722944,0.016824472,21
2000,AGO,16,6.313034188,0.782740033,3.063034188,0.078185818,21
2001,AGO,17,9.894047619,0.657558157,2.894047619,0.10107087,26
2002,AGO,18,9.323144399,0.641458355,4.406477733,0.016501531,32
2003,AGO,14,5.026587302,1.03836158,4.026587302,0.110128681,16
2004,AGO,22,9.50485348,0.969745764,3.90485348,0.118611082,29
2005,AGO,30,10.57493895,0.698129364,7.57493895,0.023640798,39
2006,AGO,33,13.80923414,0.365729086,10.30923414,0.065703019,61
2007,AGO,28,11.58365079,0.318726679,5.75031746,0.02877619,45
2008,AGO,35,13.05095314,0.453173709,7.05095314,0.058945752,40
2009,AGO,40,14.37700853,0.546255963,9.627008531,0.009283036,63
2010,AGO,45,15.8860119,0.616530034,11.8860119,0.042883639,65
2011,AGO,49,17.01196761,0.377565753,13.01196761,0.026480781,86
2012,AGO,70,24.16198912,0.629346275,19.96556054,0.023036339,114
2013,AGO,66,25.058928,0.871580638,15.058928,0.110815717,118
2014,AGO,97,35.89016149,0.639860135,24.22349482,0.068652668,147
2015,AGO,95,34.43607399,0.874814706,26.43607399,0.050365421,176
2016,AGO,109,38.50064436,0.52436644,24.50064436,0.023042587,171
2017,AGO,144,51.38963324,0.619415247,35.38963324,0.051780979,223
2018,AGO,108,32.84996893,0.610065444,24.34996893,0.050338192,151
2019,AGO,135,40.21340997,0.681111896,31.21340997,0.077129804,202
2020,AGO,164,58.05583948,0.484827076,40.55583948,0.014707235,250
2021,AGO,167,50.63710846,0.519444136,38.53710846,0.028158855,276
2022,AGO,219,57.09506912,0.744092356,44.09506912,0.062585257,273
2023,AGO,206,47.02582045,0.505099371,36.27582045,0.038541246,261
2024,AGO,20,3.805155955,0,3.805155955,1,24
1990,AIA,1,1,0,,0,1
1991,AIA,1,1,0.624768505,,0,1
2005,AIA,1,0.333333333,0.417324591,0.333333333,0,1
2006,AIA,1,0.2,2.331712904,0.2,0,1
2009,AIA,3,0.816666667,0.325703697,0.816666667,0.081632653,3
2011,AIA,8,3.336446886,0.388117643,2.336446886,0,10
2012,AIA,9,3.788690476,1.112577266,1.788690476,0.13197172,7
2013,AIA,19,9.243766001,0.782735349,5.243766001,0.099650614,37
2014,AIA,18,8.503147657,0.656683309,4.003147657,0.004570301,22
2015,AIA,25,7.572756325,0.621792295,4.572756325,6.99E-04,30
2016,AIA,25,7.91731409,0.732766877,2.91731409,0.076700114,33
2017,AIA,13,2.406177372,0.756262059,1.406177372,0.005535847,4
2018,AIA,24,4.222494673,0.6758264,2.222494673,0.04256122,29
2019,AIA,10,2.851641414,2.502552928,2.851641414,0.211069294,15
2020,AIA,24,5.353330568,0.704112222,5.353330568,0.058588606,36
2021,AIA,24,5.939487428,1.58185709,4.939487428,0.232565225,27
2022,AIA,33,10.85214449,0.908141245,7.85214449,0.131273886,47
2023,AIA,24,5.743123032,0.569648768,3.743123032,0.021281491,21
2024,AIA,4,0.877056277,0,0.877056277,1,10
1990,ALB,15,13.58333333,0.412812477,0.583333333,0.073619632,31
1991,ALB,15,13.58695652,0.099214774,0.586956522,0.0064,34
1992,ALB,21,16.87424242,0.097508437,1.374242424,0,36
1993,ALB,23,16.06904762,0.513209741,3.069047619,0.01466884,29
1994,ALB,28,17.47930403,0.205328928,3.979304029,0,43
1995,ALB,33,22.35127353,0.163308721,5.101273533,0.002080939,50
1996,ALB,67,38.01230159,0.399848094,13.76230159,0.025305091,90
1997,ALB,51,30.40248918,0.678749577,9.402489177,0.084971113,88
1998,ALB,50,33.18926074,0.326479912,9.189260739,0.002739112,80
1999,ALB,45,24.31807981,0.320206053,6.48474648,0.018788348,76
2000,ALB,40,24.25987958,0.2753057,7.759879584,0.02061016,54
2001,ALB,38,24.45470779,0.529371871,6.454707792,0.055761712,58
2002,ALB,51,30.03949939,0.391617007,12.53949939,0.023302652,82
2003,ALB,53,25.84134864,0.447542166,12.84134864,0.032248059,77
2004,ALB,52,21.15156271,0.585309398,10.65156271,0.044983885,67
2005,ALB,60,30.10444433,0.53421997,13.60444433,0.044290249,84
2006,ALB,68,31.32595702,0.507711534,17.57595702,0.049673202,126
2007,ALB,83,47.51317742,0.601391384,15.51317742,0.059756688,150
2008,ALB,104,58.79927166,0.564300938,20.29927166,0.06797247,160
2009,ALB,139,86.7146683,0.335306998,24.9646683,0.022802582,385
2010,ALB,228,150.2443078,0.322589416,36.84430784,0.016647392,357
2011,ALB,276,183.9515922,0.316089849,41.40040171,0.03231611,421
2012,ALB,337,228.9047569,0.256340999,48.83809025,0.014238614,560
2013,ALB,505,383.4925465,0.183587325,68.86754652,0.003766552,766
2014,ALB,519,391.8405319,0.244335599,68.92386528,0.011811235,810
2015,ALB,474,307.5680087,0.35274081,81.66800871,0.020512264,677
2016,ALB,398,218.0375036,0.389008622,84.43750359,0.01409081,657
2017,ALB,381,186.1113271,0.57698347,79.11132711,0.051847753,526
2018,ALB,475,235.8929127,0.512478095,91.89291266,0.039780314,646
2019,ALB,547,298.0039934,0.556323919,104.7539934,0.047188354,688
2020,ALB,640,292.0026356,0.648941287,126.585969,0.077777618,709
2021,ALB,861,428.6564497,0.47931752,145.989783,0.037806309,954
2022,ALB,966,487.2769293,0.556951521,168.5602626,0.041326465,1140
2023,ALB,1010,567.4028216,0.46476066,161.6944883,0.037823279,1325
2024,ALB,59,30.43193982,0.322422646,15.76527315,1,122
1990,AND,2,2,0.585105056,,0,7
1991,AND,1,1,0,,0,6
1992,AND,1,1,0,,0,3
1993,AND,2,0.916666667,0.391811852,0.916666667,0,4
1994,AND,1,1,0,,0,4
1995,AND,2,1.25,0.559787094,0.25,0,7
1996,AND,2,2,0,,0,6
1997,AND,3,1.285714286,0.196820994,0.952380952,0,4
1998,AND,4,2.083333333,0.253322493,1.083333333,0,4
1999,AND,1,0.076923077,2.241276299,0.076923077,0,1
2000,AND,2,1.166666667,0,0.166666667,0,5
2001,AND,4,2.476190476,0.323678548,0.476190476,0,8
2002,AND,1,0.5,0.224856934,0.5,0,2
